"Refs","Value","Footprint","Qty","DNP"
"C1","47p","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","1",""
"C2","extra","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","1",""
"C3","10n","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","1",""
"C4","220p","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","1",""
"C5","22u","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","1",""
"C6","1n","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","1",""
"C7","1u","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","1",""
"C8","10u","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","1",""
"C9","100n","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","1",""
"C10","100n","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","1",""
"C11","1n","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","1",""
"C12","100n","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","1",""
"C13","100n","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","1",""
"C14","100n","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","1",""
"C15","1n","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","1",""
"C16","470u","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","1",""
"C17","100n","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","1",""
"C18","100n","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","1",""
"C19","100n","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","1",""
"C20","100n","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","1",""
"C21","2.2u","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","1",""
"C22","10u","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","1",""
"C23","2u","Capacitor_THT:C_Rect_L7.2mm_W7.2mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","1",""
"C24","100n","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","1",""
"C25","100n","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","1",""
"C26","100n","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","1",""
"C27","470u","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","1",""
"C28","100n","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","1",""
"C29","470u","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","1",""
"C30","10u","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","1",""
"C31","10u","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","1",""
"C32","10u","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","1",""
"D1","1N5819","Diode_THT:D_DO-41_SOD81_P2.54mm_Vertical_KathodeUp","1",""
"D2","1N5819","Diode_THT:D_DO-41_SOD81_P2.54mm_Vertical_KathodeUp","1",""
"D3","1N5819","Diode_THT:D_DO-41_SOD81_P2.54mm_Vertical_KathodeUp","1",""
"D4","1N5819","Diode_THT:D_DO-41_SOD81_P2.54mm_Vertical_KathodeUp","1",""
"D5","1N4148","Diode_THT:D_DO-35_SOD27_P2.54mm_Vertical_KathodeUp","1",""
"D6","BAT43","Diode_THT:D_DO-35_SOD27_P2.54mm_Vertical_KathodeUp","1",""
"D7","1N4148","Diode_THT:D_DO-35_SOD27_P2.54mm_Vertical_KathodeUp","1",""
"D8","1N4148","Diode_THT:D_DO-35_SOD27_P2.54mm_Vertical_KathodeUp","1",""
"D9","1N4148","Diode_THT:D_DO-35_SOD27_P2.54mm_Vertical_KathodeUp","1",""
"D10","8.2v","Diode_THT:D_DO-35_SOD27_P2.54mm_Vertical_KathodeUp","1",""
"D11","D_Bridge_+-AA","Diode_THT:Diode_Bridge_DIP-4_W7.62mm_P5.08mm","1",""
"J1","Signal TP","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1",""
"J2","Bluetooth Module (MH-M18)","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","1",""
"J3","FM","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1",""
"J4","Current Transformer","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","1",""
"J5","Status","Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical","1",""
"J6","CW","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1",""
"J7","Interrupter","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","1",""
"J8","OCD TP","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","1",""
"J9","Drive TP","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1",""
"J10","~","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","1",""
"J11","Current Transformer","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","1",""
"J12","GDT","TerminalBlock:TerminalBlock_bornier-2_P5.08mm","1",""
"J13","GDT","TerminalBlock:TerminalBlock_bornier-2_P5.08mm","1",""
"J14","DC Jack","Library:BarrelJack_Horizontal","1",""
"Q1","BC547","Package_TO_SOT_THT:TO-92_Inline","1",""
"Q2","IRFU9024N","Library:TO-251-3-1EP_Horizontal_TabDown","1",""
"Q3","IRFU024NPBF","Library:TO-251-3-1EP_Horizontal_TabDown","1",""
"Q4","IRFU9024N","Library:TO-251-3-1EP_Horizontal_TabDown","1",""
"Q5","IRFU024NPBF","Library:TO-251-3-1EP_Horizontal_TabDown","1",""
"R1","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","1",""
"R2","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","1",""
"R3","22k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","1",""
"R4","120k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","1",""
"R5","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","1",""
"R6","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","1",""
"R7","5.1","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","1",""
"R8","5.1","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","1",""
"R9","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","1",""
"R10","330","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","1",""
"R11","330","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","1",""
"R12","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","1",""
"R13","330","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","1",""
"R14","330","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","1",""
"R15","1.8k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","1",""
"R16","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","1",""
"R17","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","1",""
"R18","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","1",""
"R19","1k","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P2.54mm_Vertical","1",""
"R20","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","1",""
"R21","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","1",""
"R22","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","1",""
"R23","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","1",""
"R24","560k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","1",""
"R25","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","1",""
"R26","1k","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P2.54mm_Vertical","1",""
"R27","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","1",""
"R28","10","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P2.54mm_Vertical","1",""
"RV1","50k","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","1",""
"RV2","50k","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","1",""
"RV3","50k","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","1",""
"RV4","10k","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","1",""
"U1","LM311","Package_DIP:DIP-8_W7.62mm","1",""
"U2","4046","Package_DIP:DIP-16_W7.62mm","1",""
"U3","7408","Package_DIP:DIP-14_W7.62mm","1",""
"U4","74HC14","Package_DIP:DIP-14_W7.62mm","1",""
"U5","74HC74","Package_DIP:DIP-14_W7.62mm","1",""
"U6","TC4427","Package_DIP:DIP-8_W7.62mm","1",""
"U7","LM7805_TO220","Package_TO_SOT_THT:TO-220-3_Vertical","1",""
"U8","LM7809_TO220","Package_TO_SOT_THT:TO-220-3_Vertical","1",""
